Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
"03234500—Scioto River at Higby OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 2040 ft3/s—Average streamflow: 5570 ft3/s—Minimum daily streamflow: 430 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,608,717,873,"1,030","1,200","1,400","1,630","2,130","2,850","3,780","5,340","8,300","14,800",1,650,530,484,453,424
,,,,,,,,,,,,,,7,699,562,513,481,452
,,,,,,,,,,,,,,30,833,662,611,581,558
,,,,,,,,,,,,,,90,"1,270",901,776,697,626
May–November,580,660,761,860,962,"1,080","1,200","1,500","1,870","2,390","3,230","4,750","9,380",1,661,534,486,452,421
,,,,,,,,,,,,,,7,710,567,516,481,450
,,,,,,,,,,,,,,30,847,674,622,592,568
,,,,,,,,,,,,,,90,"1,280",913,791,713,645
December–February,750,985,"1,280","1,590","1,840","2,150","2,470","3,140","4,070","5,360","7,540","11,200","18,200",1,"1,320",878,717,610,510
,,,,,,,,,,,,,,7,"1,510",982,797,676,567
,,,,,,,,,,,,,,30,"2,750","1,620","1,230",978,759
,,,,,,,,,,,,,,90,"6,790","4,330","3,310","2,600","1,950"
September–November,555,595,665,735,801,874,952,"1,130","1,330","1,640","2,100","2,990","5,350",1,673,542,497,469,445
,,,,,,,,,,,,,,7,733,580,529,498,471
,,,,,,,,,,,,,,30,990,709,618,562,514
,,,,,,,,,,,,,,90,"1,970","1,200",943,786,648
"03237020—Scioto River at Piketon OH—Statistics based on water years: 2002–2020
Harmonic mean flow: 2680 ft3/s—Average streamflow: 7290 ft3/s—Minimum daily streamflow: 295 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,734,889,"1,110","1,320","1,620","1,900","2,200","2,930","3,900","5,240","7,250","11,100","19,400",1,802,571,471,400,330
,,,,,,,,,,,,,,7,848,601,507,443,382
,,,,,,,,,,,,,,30,"1,060",805,731,688,655
,,,,,,,,,,,,,,90,"1,620","1,130",968,868,780
May–November,691,795,945,"1,070","1,190","1,340","1,550","1,980","2,480","3,190","4,230","6,360","12,000",1,818,583,481,406,332
,,,,,,,,,,,,,,7,865,614,517,449,385
,,,,,,,,,,,,,,30,"1,060",815,743,701,669
,,,,,,,,,,,,,,90,"1,640","1,150",994,895,808
December–February,"1,240","1,610","1,920","2,300","2,700","3,030","3,400","4,400","5,660","7,390","10,500","14,900","23,300",1,"1,830","1,230","1,000",846,701
,,,,,,,,,,,,,,7,"2,100","1,460","1,220","1,060",899
,,,,,,,,,,,,,,30,"4,410","2,910","2,360","1,990","1,650"
,,,,,,,,,,,,,,90,"8,580","5,750","4,650","3,890","3,180"
September–November,640,708,799,890,997,"1,080","1,160","1,390","1,750","2,190","2,920","4,080","7,840",1,835,584,483,411,342
,,,,,,,,,,,,,,7,920,643,531,453,378
,,,,,,,,,,,,,,30,"1,280",892,767,689,621
,,,,,,,,,,,,,,90,"2,590","1,500","1,150",932,745
"03237500—Ohio Brush Creek near West Union OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 10.4 ft3/s—Average streamflow: 501 ft3/s—Minimum daily streamflow: 0.11 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.1,2.85,6.13,11,18,29.1,44,84,138,212,319,525,"1,120",1,2.55,0.76,0.39,0.22,0.11
,,,,,,,,,,,,,,7,3.35,1.01,0.52,0.3,0.15
,,,,,,,,,,,,,,30,7.24,1.9,0.92,0.5,0.25
,,,,,,,,,,,,,,90,31.4,8.65,4.16,2.21,1.05
May–November,0.74,1.4,3.3,5.4,7.96,11.1,15.6,28.5,49.2,81,133,241,579,1,2.51,0.76,0.39,0.22,0.11
,,,,,,,,,,,,,,7,3.29,1.01,0.53,0.3,0.16
,,,,,,,,,,,,,,30,7.09,1.9,0.93,0.5,0.25
,,,,,,,,,,,,,,90,32,8.81,4.22,2.23,1.05
December–February,10,28,58,79.5,100,128,154,210,281,380,539,864,"1,780",1,43.1,15.2,8.13,4.62,2.32
,,,,,,,,,,,,,,7,57.6,21.8,12.3,7.45,4.08
,,,,,,,,,,,,,,30,247,106,61.7,37.6,20.4
,,,,,,,,,,,,,,90,711,487,394,328,266
September–November,0.43,0.9,1.67,3,4.26,5.9,7.81,13.9,24,44.7,83,153,385,1,2.91,0.83,0.41,0.22,0.11
,,,,,,,,,,,,,,7,3.73,1.07,0.54,0.3,0.16
,,,,,,,,,,,,,,30,11,2.27,0.98,0.48,0.22
,,,,,,,,,,,,,,90,108,27.5,12.2,5.86,2.42
"03238500—White Oak Creek near Georgetown OH—Statistics based on water years: 1975–2011
Harmonic mean flow: 4.43 ft3/s—Average streamflow: 293 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0,0.24,2.7,5.3,8.8,13,18,30,50,79,122,215,559,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0.74,0,0,0,0
,,,,,,,,,,,,,,30,3.63,0.26,0,0,0
,,,,,,,,,,,,,,90,19.4,4.12,1.64,0.72,0.27
May–November,0,0,0.64,2.2,3.9,6,8.1,13,21,32,54,104,269,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0.75,0,0,0,0
,,,,,,,,,,,,,,30,3.85,0.27,0,0,0
,,,,,,,,,,,,,,90,19,4.05,1.64,0.74,0.28
December–February,2.2,6.2,16,23,30,40,50,75,103,143,210,363,929,1,14.5,5.3,2.47,0,0
,,,,,,,,,,,,,,7,21.8,6.06,2.45,1.01,0.32
,,,,,,,,,,,,,,30,96.8,31.1,14.9,7.48,3.15
,,,,,,,,,,,,,,90,386,264,217,185,155
September–November,0,0,0,0.66,1.7,2.99,4,7.6,13,21.2,35,74,194,1,0.11,0,0,0,0
,,,,,,,,,,,,,,7,1.25,0,0,0,0
,,,,,,,,,,,,,,30,7.23,0.57,0,0,0
,,,,,,,,,,,,,,90,74.1,13.6,4.61,1.69,0.48
"03240000—Little Miami River near Oldtown OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 49.7 ft3/s—Average streamflow: 145 ft3/s—Minimum daily streamflow: 3.50 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,12,16,21,25,31,38,45,61,81,105,134,182,294,1,17.6,10.6,7.9,6.13,4.55
,,,,,,,,,,,,,,7,18.8,12.2,9.72,8.07,6.56
,,,,,,,,,,,,,,30,21.7,13.9,11.3,9.66,8.18
,,,,,,,,,,,,,,90,30.6,18.5,14.6,12.1,9.93
May–November,11,14,18,21,23.4,27,31,41,53,70,92.8,126,209,1,18.3,10.9,8.09,6.23,4.57
,,,,,,,,,,,,,,7,19.4,12.5,9.97,8.27,6.7
,,,,,,,,,,,,,,30,22.2,14.4,11.7,10,8.51
,,,,,,,,,,,,,,90,30.9,18.8,14.9,12.5,10.4
December–February,15,21.7,31,41,50,58,66,85,103,130,161,217,354,1,38.2,22.8,17.3,13.6,10.4
,,,,,,,,,,,,,,7,43.1,25.4,19,14.9,11.2
,,,,,,,,,,,,,,30,71.6,39.5,28.1,20.9,14.7
,,,,,,,,,,,,,,90,161,99.2,75.4,59.4,44.8
September–November,9.3,12,15,17,19,20,21.8,25.1,31,40,53,74,126,1,18.2,10.6,8.02,6.33,4.85
,,,,,,,,,,,,,,7,19.3,12.4,10.2,8.7,7.4
,,,,,,,,,,,,,,30,24,15,12.1,10.3,8.68
,,,,,,,,,,,,,,90,45.4,24.1,17.6,13.7,10.5
"03241500—Massies Creek at Wilberforce OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 15.9 ft3/s—Average streamflow: 74.9 ft3/s—Minimum daily streamflow: 0.89 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3,4.4,5.91,7.9,10,13.1,17,26,36,48.7,65,94,165,1,4.39,2.62,1.95,1.5,1.11
,,,,,,,,,,,,,,7,4.85,2.89,2.2,1.76,1.37
,,,,,,,,,,,,,,30,6.21,3.62,2.79,2.28,1.83
,,,,,,,,,,,,,,90,10.6,5.58,4.05,3.13,2.37
May–November,2.4,3.7,4.8,5.9,7.13,8.4,10,14,21,29,40.5,60,108,1,4.36,2.59,1.93,1.49,1.1
,,,,,,,,,,,,,,7,4.84,2.87,2.18,1.74,1.35
,,,,,,,,,,,,,,30,6.17,3.58,2.76,2.25,1.81
,,,,,,,,,,,,,,90,10.4,5.49,4.04,3.17,2.45
December–February,4.6,6.9,13,19,24,28,32,41,52,67,87,122,210,1,15.6,8,5.43,3.85,2.55
,,,,,,,,,,,,,,7,18.5,9.43,6.36,4.49,2.96
,,,,,,,,,,,,,,30,34.9,17.1,11.2,7.64,4.82
,,,,,,,,,,,,,,90,90.9,56,41.9,32.3,23.6
September–November,2.2,3,4,4.6,5.23,5.9,6.74,8.4,11,15,22.3,36,69,1,4.38,2.61,2.01,1.64,1.3
,,,,,,,,,,,,,,7,4.99,2.91,2.25,1.84,1.49
,,,,,,,,,,,,,,30,7.39,3.99,2.98,2.38,1.87
,,,,,,,,,,,,,,90,20,8.74,5.66,3.95,2.64
"03244936—O’Bannon Creek near Loveland OH—Statistics based on water years: 2005–2020
Harmonic mean flow: 8.55 ft3/s—Average streamflow: 85.4 ft3/s—Minimum daily streamflow: 0.93 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.8,2.32,3.13,3.9,4.9,5.95,7.49,11.2,16,23,34,60.6,160,1,1.83,1.36,1.15,1.01,0.86
,,,,,,,,,,,,,,7,2.2,1.7,1.48,1.32,1.16
,,,,,,,,,,,,,,30,3.62,2.46,2.04,1.77,1.53
,,,,,,,,,,,,,,90,9.56,4.35,2.89,2.07,1.43
May–November,1.66,1.95,2.44,2.92,3.41,3.86,4.42,5.68,7.75,10.6,14.8,24.7,64,1,1.85,1.38,1.17,1.03,0.88
,,,,,,,,,,,,,,7,2.27,1.73,1.5,1.33,1.15
,,,,,,,,,,,,,,30,3.69,2.52,2.1,1.81,1.56
,,,,,,,,,,,,,,90,9.97,4.57,3.03,2.16,1.48
December–February,5.8,7.5,9.92,12.8,14.7,17,19,24.2,31.2,42.2,63.7,112,265,1,7.61,5.15,4.22,3.58,2.98
,,,,,,,,,,,,,,7,10.4,6.88,5.49,4.54,3.65
,,,,,,,,,,,,,,30,37.2,25.6,21.6,19,16.7
,,,,,,,,,,,,,,90,114,73.8,57.8,46.8,36.6
September–November,1.68,2.03,2.47,2.86,3.28,3.62,3.92,4.84,6.13,8.75,12.2,18.4,47.8,1,2.23,1.69,1.53,1.43,1.36
,,,,,,,,,,,,,,7,2.84,2.14,1.92,1.78,1.67
,,,,,,,,,,,,,,30,5.18,2.8,2.19,1.87,1.61
,,,,,,,,,,,,,,90,22.8,8.76,5.21,3.36,2.02
"03255500—Mill Creek at Reading OH—Statistics based on water years: 1975–1991
Harmonic mean flow: 21.0 ft3/s—Average streamflow: 88.9 ft3/s—Minimum daily streamflow: 2.10 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,4.9,7,9.4,12,13.6,16,18,24,33,44,62,98,191,1,5.22,3.27,2.48,1.94,1.44
,,,,,,,,,,,,,,7,7.5,5.02,3.83,2.97,2.15
,,,,,,,,,,,,,,30,13.8,8.69,6.37,4.75,3.27
,,,,,,,,,,,,,,90,27.4,16,11.8,9.04,6.59
May–November,4.7,6.2,8.1,9.8,11,13,14,17.2,22,30,43,70,148,1,5.2,3.28,2.54,2.03,1.57
,,,,,,,,,,,,,,7,7.31,5.3,4.48,3.89,3.33
,,,,,,,,,,,,,,30,12.9,9.99,8.97,8.31,7.72
,,,,,,,,,,,,,,90,26.9,17.9,14.9,13,11.3
December–February,4,7.2,12,15,19,22,25,33,43,57,77,115,223,1,12.6,6.8,4.66,3.3,2.17
,,,,,,,,,,,,,,7,14.7,7.54,5.03,3.49,2.24
,,,,,,,,,,,,,,30,34.5,14.8,8.7,5.34,2.92
,,,,,,,,,,,,,,90,107,61.5,42.4,29.7,19
September–November,4.7,6.2,7.3,8.7,10,11.6,13,16,20,25,35,56,116,1,6.1,3.55,2.63,2.03,1.5
,,,,,,,,,,,,,,7,8.19,5.54,4.62,4.03,3.5
,,,,,,,,,,,,,,30,15.6,10.8,9.18,8.19,7.33
,,,,,,,,,,,,,,90,48.7,28.9,22.3,18.2,14.6
"03260700—Bokengehalas Creek near De Graff OH—Statistics based on water years: 1995–1991
Harmonic mean flow: 15.2 ft3/s—Average streamflow: 35.3 ft3/s—Minimum daily streamflow: 2.40 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,5.2,5.8,7.2,8.1,9.2,11,12,16,20,25,33,46,72,1,6.06,4.27,3.44,2.82,2.21
,,,,,,,,,,,,,,7,6.51,4.93,4.22,3.7,3.17
,,,,,,,,,,,,,,30,7.93,6.06,5.28,4.71,4.15
,,,,,,,,,,,,,,90,10.4,7.45,6.25,5.39,4.56
May–November,5.2,5.7,6.6,7.4,8,8.6,9.4,12,14,17,21,29,46,1,6.59,4.61,3.66,2.94,2.24
,,,,,,,,,,,,,,7,7.12,5.46,4.7,4.13,3.56
,,,,,,,,,,,,,,30,8.1,6.2,5.42,4.86,4.32
,,,,,,,,,,,,,,90,10.2,7.41,6.33,5.57,4.85
December–February,4.8,5.2,8,11,13,15,17,20,24,30,40,56,95,1,10.4,6.49,4.93,3.86,2.89
,,,,,,,,,,,,,,7,11.1,6.82,5.14,4.01,2.99
,,,,,,,,,,,,,,30,18.4,10.6,7.81,6.06,4.53
,,,,,,,,,,,,,,90,41.9,25.4,18.8,14.4,10.5
September–November,5.2,5.5,5.9,6.3,7,7.5,8,8.7,10,12,14,18,31,1,6.52,5.23,4.7,4.31,3.93
,,,,,,,,,,,,,,7,7.19,5.77,5.18,4.76,4.35
,,,,,,,,,,,,,,30,7.95,6.05,5.5,5.19,4.95
,,,,,,,,,,,,,,90,13.3,8.56,7.05,6.11,5.29
"03260706—Bokengehalas Creek at De Graff OH—Statistics based on water years: 1993–1996, 2003–2020
Harmonic mean flow: 22.5 ft3/s—Average streamflow: 53.7 ft3/s—Minimum daily streamflow: 5.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,6.99,8.2,10,11.9,13.6,15.4,17.7,23.7,30.9,39.1,50,68,110,1,7.94,6.2,5.57,5.16,4.78
,,,,,,,,,,,,,,7,8.45,6.61,5.98,5.57,5.2
,,,,,,,,,,,,,,30,10.1,7.87,7.16,6.72,6.36
,,,,,,,,,,,,,,90,13.9,10.1,8.84,8.04,7.35
May–November,6.56,7.54,8.7,9.86,11,12.2,13.6,16.4,21.3,27.2,35.4,47.4,82,1,8.1,6.27,5.59,5.14,4.72
,,,,,,,,,,,,,,7,8.73,6.74,6.01,5.53,5.08
,,,,,,,,,,,,,,30,10.2,7.96,7.25,6.81,6.44
,,,,,,,,,,,,,,90,14.3,10.3,8.97,8.1,7.32
December–February,9.9,11.2,14,16,18,20.4,22.9,30,37.4,47,57.5,79.5,131,1,14.3,9.88,8.27,7.18,6.17
,,,,,,,,,,,,,,7,16.7,11.2,9.14,7.74,6.43
,,,,,,,,,,,,,,30,28.2,17.6,13.7,11.1,8.76
,,,,,,,,,,,,,,90,59.2,36.5,27.6,21.6,16.1
September–November,6.2,6.92,7.78,8.41,9.2,9.8,10.4,12.1,13.8,16,21.1,30,48.1,1,8.33,6.55,5.91,5.5,5.13
,,,,,,,,,,,,,,7,9.33,7.27,6.5,5.99,5.51
,,,,,,,,,,,,,,30,12.1,8.45,7.29,6.58,5.97
,,,,,,,,,,,,,,90,23.7,13.2,9.69,7.46,5.53
"03262000—Loramie Creek at Lockington OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 25.3 ft3/s—Average streamflow: 261 ft3/s—Minimum daily streamflow: 0.40 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,5,6.83,9.5,12,15.9,19.3,24.6,40,62.7,95.7,149,270,664,1,6.47,2.98,1.78,1.1,0.59
,,,,,,,,,,,,,,7,7.33,4.49,3.51,2.89,2.33
,,,,,,,,,,,,,,30,10.8,6.21,4.85,4.03,3.34
,,,,,,,,,,,,,,90,21.6,10.2,7.25,5.6,4.29
May–November,4.6,6.2,7.8,9.5,11,13,15.9,21.8,32,48,76,131,321,1,6.48,2.97,1.78,1.09,0.59
,,,,,,,,,,,,,,7,7.57,4.57,3.55,2.9,2.32
,,,,,,,,,,,,,,30,11,6.31,4.92,4.09,3.39
,,,,,,,,,,,,,,90,22,10.3,7.33,5.68,4.38
December–February,4.9,9.6,16,21,28,36,46.5,70,100,145,228,415,"1,000",1,18.5,9.39,6.4,4.6,3.12
,,,,,,,,,,,,,,7,21.5,10.9,7.57,5.54,3.87
,,,,,,,,,,,,,,30,64,23.6,13.6,8.53,4.96
,,,,,,,,,,,,,,90,334,173,113,75.5,45.8
September–November,3.3,4.9,6.35,7.18,8.2,9.2,10,13,17,24,40,78.5,203,1,6.86,2.94,1.74,1.08,0.6
,,,,,,,,,,,,,,7,8.16,4.64,3.53,2.84,2.26
,,,,,,,,,,,,,,30,14.3,6.77,4.8,3.71,2.84
,,,,,,,,,,,,,,90,51.9,17,9.56,5.96,3.51
"03264000—Greenville Creek near Bradford OH—Statistics based on water years: 1975–200, 2003–2020
Harmonic mean flow: 61.5 ft3/s—Average streamflow: 215 ft3/s—Minimum daily streamflow: 5.90 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,15.6,21,27,32,37,43,52,72,98,130,177,255,471,1,19.6,12.4,9.66,7.78,6.03
,,,,,,,,,,,,,,7,21.9,14.3,11.3,9.19,7.25
,,,,,,,,,,,,,,30,25.6,16.8,13.9,12.1,10.4
,,,,,,,,,,,,,,90,37.4,23.7,19.6,17.1,14.9
May–November,13.6,18,23,27,29.5,33,36.8,46,60.9,83.5,114,164,296,1,20.3,12.8,9.83,7.83,5.98
,,,,,,,,,,,,,,7,22.4,14.5,11.4,9.19,7.16
,,,,,,,,,,,,,,30,25.5,16.8,14,12.3,10.8
,,,,,,,,,,,,,,90,37.2,23.6,19.9,17.7,16
December–February,20,29,39,48,58,66,76,98,126,165,222,325,600,1,41.6,26.1,20.4,16.7,13.3
,,,,,,,,,,,,,,7,46.9,29.1,22.6,18.3,14.4
,,,,,,,,,,,,,,30,89.7,48.5,35,26.6,19.5
,,,,,,,,,,,,,,90,251,141,98.9,72,48.9
September–November,12,16,20,23,25,27,28.2,32.8,37,45,60,94,168,1,20.2,12.4,9.83,8.18,6.72
,,,,,,,,,,,,,,7,22.6,14.8,12.2,10.6,9.23
,,,,,,,,,,,,,,30,28.7,18.4,15.4,13.5,12
,,,,,,,,,,,,,,90,63.5,34.1,25.6,20.7,16.6
"03265000—Stillwater River at Pleasant Hill OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 101 ft3/s—Average streamflow: 527 ft3/s—Minimum daily streamflow: 7.40 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,21.4,31,42,52,61,73.9,90,132,185,253,359,560,"1,160",1,26.9,16.2,12.3,9.73,7.43
,,,,,,,,,,,,,,7,31,19.4,15.2,12.3,9.7
,,,,,,,,,,,,,,30,39.8,25.1,20.5,17.8,15.4
,,,,,,,,,,,,,,90,65.1,37.3,29.1,24.2,20
May–November,18,26,34.8,41,47.8,54.2,60.7,80,110,156,218,331,654,1,27.7,16.4,12.4,9.69,7.3
,,,,,,,,,,,,,,7,31.7,19.7,15.2,12.2,9.55
,,,,,,,,,,,,,,30,40.8,25.6,20.9,18,15.5
,,,,,,,,,,,,,,90,66.6,37.3,29.2,24.5,20.7
December–February,31,46,66,82,100,120,140,188,250,338,469,740,"1,600",1,67.9,41.6,32.5,26.7,21.4
,,,,,,,,,,,,,,7,81.2,48.7,37,29.5,22.7
,,,,,,,,,,,,,,30,170,81.7,55.6,40.4,28.2
,,,,,,,,,,,,,,90,628,335,227,159,102
September–November,16,23,29,34,38,42,46,55,63,81,114,187,375,1,28.5,16.7,13,10.7,8.73
,,,,,,,,,,,,,,7,33.6,21.2,17.3,14.9,12.9
,,,,,,,,,,,,,,30,48.4,28.7,23,19.7,16.9
,,,,,,,,,,,,,,90,132,59.3,40.2,29.6,21.4
"03266000—Stillwater River at Englewood OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 145 ft3/s—Average streamflow: 699 ft3/s—Minimum daily streamflow: 11.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,31.8,43,59,72,88.5,108,131,191,261,352,497,808,"1,780",1,43.7,26.8,20.4,16.1,12.3
,,,,,,,,,,,,,,7,48.2,30.5,23.8,19.3,15.2
,,,,,,,,,,,,,,30,58.9,36.9,30,25.8,22.2
,,,,,,,,,,,,,,90,93.2,53.1,40.9,33.6,27.4
May–November,27,37,48,58,67,76,88,116,160,225,302,459,960,1,44,26.9,20.4,16.1,12.2
,,,,,,,,,,,,,,7,48.6,30.6,23.8,19.2,15.1
,,,,,,,,,,,,,,30,59,36.8,29.9,25.7,22
,,,,,,,,,,,,,,90,94.8,52.9,40.9,33.9,28.1
December–February,48,66,92,120,147,170,200,269,341,470,660,"1,100","2,460",1,104,63.9,49.9,40.7,32.5
,,,,,,,,,,,,,,7,120,71.7,54.7,43.7,33.9
,,,,,,,,,,,,,,30,234,116,80.8,60.1,43.2
,,,,,,,,,,,,,,90,829,440,295,204,130
September–November,24,32,40,45.5,52,57.1,63,74,89,114,158,252,498,1,43.8,26.9,21.6,18.2,15.4
,,,,,,,,,,,,,,7,49.5,31.7,26.1,22.8,19.9
,,,,,,,,,,,,,,30,69.4,41,32.8,27.9,23.9
,,,,,,,,,,,,,,90,174,78.4,53,38.9,27.8
"03266560—Mad River at West Liberty OH —Statistics based on water years: 1995–2020
Harmonic mean flow: 31.6 ft3/s—Average streamflow: 49.8 ft3/s—Minimum daily streamflow: 7.20 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,13.4,15.1,18,20,21.6,23.2,25,29.5,34.6,41,49,61.5,86.3,1,15.8,12.1,10.5,9.36,8.17
,,,,,,,,,,,,,,7,17.4,13.3,11.5,10.1,8.77
,,,,,,,,,,,,,,30,19.1,15.5,14.1,13.1,12.1
,,,,,,,,,,,,,,90,21.9,17.4,15.7,14.5,13.4
May–November,13,15,17,18.7,20.1,21.7,23,26,29.6,34.1,40.2,49.3,70.2,1,16.6,13.5,12.1,11.2,10.2
,,,,,,,,,,,,,,7,18,14.6,13.2,12.2,11.2
,,,,,,,,,,,,,,30,19.5,15.9,14.4,13.4,12.4
,,,,,,,,,,,,,,90,22.6,17.9,16.1,14.8,13.6
December–February,12,14,17,19,21,23,25,30.6,35,42,52,64.4,93.3,1,18.6,12.9,10.8,9.47,8.24
,,,,,,,,,,,,,,7,21,14.3,11.9,10.2,8.68
,,,,,,,,,,,,,,30,29.1,19.7,16.1,13.7,11.5
,,,,,,,,,,,,,,90,47.9,31.6,25.4,21.1,17.1
September–November,13,13.5,14.9,16,17.1,18,19,21,23,25,27.4,32.1,42.3,1,16.5,13.4,12.1,11.2,10.4
,,,,,,,,,,,,,,7,17.9,14.6,13.2,12.3,11.3
,,,,,,,,,,,,,,30,21,16.2,14.3,12.9,11.7
,,,,,,,,,,,,,,90,26.9,19.3,16.3,14.2,12.1
"03267000—Mad River near Urbana OH—Statistics based on water years: 1975–1998, 2003–2020
Harmonic mean flow: 126 ft3/s—Average streamflow: 186 ft3/s—Minimum daily streamflow: 30.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,55,62,71.7,80,89,96,103,119,139,165,196,239,327,1,71.2,53.9,45.9,39.8,33.6
,,,,,,,,,,,,,,7,73.3,55.5,47.2,40.9,34.5
,,,,,,,,,,,,,,30,79.1,60.8,52.6,46.6,40.4
,,,,,,,,,,,,,,90,88.6,67.7,59.2,53.1,47.2
May–November,53,61,67.7,74.7,81,88.1,94.5,106,120,138,162,194,258,1,76.2,58.6,50.3,44,37.6
,,,,,,,,,,,,,,7,78,60,51.6,45.1,38.5
,,,,,,,,,,,,,,30,82.1,63.6,55.4,49.4,43.2
,,,,,,,,,,,,,,90,92.2,70.3,61.2,54.8,48.4
December–February,52.2,61.9,72.3,81.8,90.2,98,105,122,145,175,210,259,357,1,83,60.6,52.2,46.5,41.1
,,,,,,,,,,,,,,7,88.6,63.8,54.3,47.8,41.7
,,,,,,,,,,,,,,30,116,79.9,66.2,57,48.2
,,,,,,,,,,,,,,90,185,122,97,79.4,62.9
September–November,46,58,62,65,69,72.5,76,84.3,94,102,111,128,174,1,76.4,58.9,51,45.2,39.3
,,,,,,,,,,,,,,7,78.2,60.2,52.3,46.4,40.4
,,,,,,,,,,,,,,30,83.3,62.8,54.8,49.1,43.7
,,,,,,,,,,,,,,90,102,74.6,64.3,57.3,50.6
"03267900—Mad River at St Paris Pike at Eagle City OH—Statistics based on water years: 1975–1995, 1999–2020
Harmonic mean flow: 229 ft3/s—Average streamflow: 357 ft3/s—Minimum daily streamflow: 60.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,101,117,131,145,157,169,181,210,248,295,355,447,641,1,127,101,88.5,79.1,69.5
,,,,,,,,,,,,,,7,132,104,91.7,82,72
,,,,,,,,,,,,,,30,139,111,99.7,91.6,83.7
,,,,,,,,,,,,,,90,160,126,112,103,94.3
May–November,97,112,124,133,145,153,162,181,205,239,282,349,487,1,130,105,93.6,85.2,76.6
,,,,,,,,,,,,,,7,133,108,96.9,88.8,80.6
,,,,,,,,,,,,,,30,139,113,103,95.6,88.9
,,,,,,,,,,,,,,90,162,127,114,105,96.7
December–February,109,120,137,156,173,188,203,235,274,326,400,504,734,1,158,118,102,90.9,79.8
,,,,,,,,,,,,,,7,168,124,106,94,82.1
,,,,,,,,,,,,,,30,218,152,128,111,95.1
,,,,,,,,,,,,,,90,374,252,204,170,138
September–November,91,103,113,120,126,131,137,151,163,178,198,236,336,1,129,104,94.2,86.8,79.5
,,,,,,,,,,,,,,7,132,107,96.9,89.5,82.3
,,,,,,,,,,,,,,30,147,116,103,94.3,85.9
,,,,,,,,,,,,,,90,191,140,121,108,96.5
"03269500—Mad River near Springfield OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 388 ft3/s—Average streamflow: 578 ft3/s—Minimum daily streamflow: 100 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,178,200,228,248,268,287,308,357,413,487,580,731,"1,070",1,199,163,146,132,117
,,,,,,,,,,,,,,7,214,174,154,138,121
,,,,,,,,,,,,,,30,240,194,175,162,148
,,,,,,,,,,,,,,90,284,229,208,193,178
May–November,172,191,213,233,247,263,278,312,355,407,480,588,831,1,204,170,155,144,133
,,,,,,,,,,,,,,7,220,182,164,151,138
,,,,,,,,,,,,,,30,245,200,184,172,162
,,,,,,,,,,,,,,90,289,232,210,195,180
December–February,180,209,240,267,293,320,345,398,456,538,647,825,"1,240",1,258,193,166,147,129
,,,,,,,,,,,,,,7,276,205,176,155,136
,,,,,,,,,,,,,,30,363,256,215,187,160
,,,,,,,,,,,,,,90,603,421,348,297,248
September–November,170,183,198,213,230,240,250,273,300,332,374,444,617,1,205,170,156,147,137
,,,,,,,,,,,,,,7,221,182,167,156,146
,,,,,,,,,,,,,,30,269,218,198,184,170
,,,,,,,,,,,,,,90,347,260,228,205,185
"03270000—Mad River near Dayton OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 482 ft3/s—Average streamflow: 757 ft3/s—Minimum daily streamflow: 112 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,200,230,271,302,332,360,388,452,533,633,762,968,"1,450",1,236,186,162,144,125
,,,,,,,,,,,,,,7,252,198,172,153,133
