Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
,,,,,,,,,,,,,,30,70.3,47,39.2,34.2,29.7
,,,,,,,,,,,,,,90,129,92.7,79.2,70.2,61.8
September–November,13,16,19,20.8,22.1,23.8,25.2,30,35,42.2,55,75,120,1,20.4,14.1,11.6,9.91,8.27
,,,,,,,,,,,,,,7,22.3,15.1,12.5,10.7,9.05
,,,,,,,,,,,,,,30,29.2,19.6,16.5,14.5,12.8
,,,,,,,,,,,,,,90,47.6,30.6,25.5,22.4,19.8
"03113990—Captina Creek at S.R. 148 at Armstrongs Mills OH—Statistics based on water years: 2004–2020
Harmonic mean flow: 19.0 ft3/s—Average streamflow: 191 ft3/s—Minimum daily streamflow: 0.31 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,2.37,3.78,6.68,10.7,15.6,22.7,32.1,50.7,74.9,107,153,232,426,1,2.13,0.93,0.59,0.4,0.26
,,,,,,,,,,,,,,7,2.79,1.35,0.96,0.74,0.56
,,,,,,,,,,,,,,30,6.69,3.63,2.73,2.2,1.75
,,,,,,,,,,,,,,90,19.2,9.92,7.21,5.61,4.3
May–November,1.94,2.86,4.2,5.88,8.13,10.5,13.1,20.8,32.8,48.3,67.9,103,220,1,2.28,0.99,0.62,0.42,0.26
,,,,,,,,,,,,,,7,2.93,1.42,1,0.76,0.57
,,,,,,,,,,,,,,30,6.8,3.74,2.83,2.28,1.82
,,,,,,,,,,,,,,90,20.1,10.4,7.49,5.78,4.35
December–February,27.5,34.3,43.2,52.1,65.2,78.5,94,122,156,196,258,371,699,1,35.8,17.2,10.9,7.26,4.39
,,,,,,,,,,,,,,7,53.7,26.3,16.3,10.4,5.91
,,,,,,,,,,,,,,30,133,84,66,54.1,43.2
,,,,,,,,,,,,,,90,282,188,149,121,95.2
September–November,1.7,2.5,3.42,4.19,5.31,6.56,7.94,11.2,16.6,30.3,51.4,87.1,199,1,2.89,1.11,0.71,0.51,0.35
,,,,,,,,,,,,,,7,4.17,1.75,1.2,0.91,0.69
,,,,,,,,,,,,,,30,12.5,4.56,2.91,2.08,1.48
,,,,,,,,,,,,,,90,50.2,17.1,9.92,6.37,3.9
"03114000—Captina Creek at Armstrongs Mills OH—Statistics based on water years: 1975–2002
Harmonic mean flow: 10.9 ft3/s—Average streamflow: 171 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.69,3.5,7,11,15,22,30,49,75,107,152,225,397,1,1.89,0.44,0.14,0.03,0
,,,,,,,,,,,,,,7,2.67,0.77,0.32,0.1,0
,,,,,,,,,,,,,,30,6.57,2.52,1.5,0.97,0.59
,,,,,,,,,,,,,,90,20.2,9.55,6.61,4.93,3.59
