object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
22293,W,DOMESTIC,-84.20738,40.7402,,ALLEN,AMERICAN,1998-04-01,36.0,824.9000244140625,SAND & GRAVEL,CABLE TOOL,9.0,,36.0,,846798
22299,W,DOMESTIC,-83.99211,40.81926,,ALLEN,RICHLAND,1997-07-30,43.0,856.0,LIMESTONE,ROTARY,10.0,6.0,26.0,23,852625
22318,W,MONITOR,-84.11341,40.72199,GEOCODE,ALLEN,SHAWNEE,1997-09-17,22.0,864.0999755859375,SAND & GRAVEL,AUGER,,,12.0,,852948
22323,W,DOMESTIC,-84.20374,40.70014,GEOCODE,ALLEN,SHAWNEE,1998-04-24,143.0,876.0,LIMESTONE,ROTARY,10.0,60.0,88.0,85,867922
22336,W,DOMESTIC,-84.23273999999999,40.75351,GEOCODE,ALLEN,AMANDA,1997-03-31,33.0,817.5,GRAVEL,CABLE TOOL,15.0,20.0,33.0,,839991
22337,W,DOMESTIC,-84.24959,40.787479999999995,GEOCODE,ALLEN,MARION,1997-09-03,145.0,799.2999877929688,LIMESTONE,ROTARY,30.0,22.0,26.0,26,851226
22388,W,DOMESTIC,-84.39197999999999,40.736000000000004,GEOCODE,ALLEN,SPENCER,1999-05-20,70.0,814.7000122070312,LIMESTONE,ROTARY,10.0,14.0,47.0,44,889209
22389,W,DOMESTIC,-84.38786999999999,40.79091,GEOCODE,ALLEN,SPENCER,1999-03-26,36.0,796.7000122070312,SHALE,CABLE TOOL,10.0,16.0,,32,890227
22400,W,DOMESTIC,-83.99324,40.810649999999995,GEOCODE,ALLEN,JACKSON,1997-10-13,60.0,880.7999877929688,LIMESTONE,ROTARY,6.0,39.0,47.0,47,851247
22445,W,DOMESTIC,-84.03235,40.81545,GEOCODE,ALLEN,BATH,1998-08-01,48.0,855.7000122070312,LIMESTONE,CABLE TOOL,12.0,,32.0,31,846782
